device_id,gender,age,group
-2415127400609090000,M,27,M27-28
2894174233476840000,M,21,M22-
2977628559549880000,M,32,M32-38
-2657430017797690000,M,32,M32-38
4497817510933030000,M,32,M32-38
2460194575250180000,M,53,M39+
-5872355609156220000,F,39,F33-42
8069018087348620000,M,53,M39+
4948898765850980000,M,53,M39+
3147394884766950000,M,53,M39+
80935662153622000,M,53,M39+
-7945392883263040000,M,59,M39+
7021855019699120000,F,25,F24-26
-766118996225706000,F,45,F43+
-900650310696232000,F,30,F29-32
-8762995520315890000,M,28,M27-28
5421267314514960000,M,28,M27-28
-529046212852150000,M,28,M27-28
-1895509578144570000,M,31,M29-31
-2478156885124020000,F,24,F24-26
-7279624854596090000,M,42,M39+
5692610091528360000,M,48,M39+
6562806239947570000,M,50,M39+
-7306135389406960000,M,43,M39+
5702872234734710000,M,32,M32-38
6488610263167170000,M,46,M39+
-3529774277648140000,M,38,M32-38
-6000733973296810000,M,24,M23-26
2350979402202430000,M,47,M39+
-621174912844602000,M,34,M32-38
-4153865198013980000,M,70,M39+
9219479903879160000,F,27,F27-28
-2389013266016610000,M,27,M27-28
6565337312089150000,F,32,F29-32
6281195034868000000,F,39,F33-42
-6065952695936630000,M,21,M22-
6391503609295650000,F,24,F24-26
-3227288379325910000,M,35,M32-38
9123392963738370000,M,32,M32-38
-1938435110960600000,M,21,M22-
5636743222462110000,M,27,M27-28
1540134249071130000,F,67,F43+
2844534599979000000,M,33,M32-38
6327103640181620000,M,30,M29-31
7507270603885960000,M,48,M39+
-565124306076115000,M,48,M39+
4419526128131770000,F,44,F43+
-5284404864046190000,F,44,F43+
2060749851566670000,F,44,F43+
-8593265039555200000,M,34,M32-38
-6141801790803850000,F,36,F33-42
-6492462980844780000,M,24,M23-26
6775652294837140000,F,24,F24-26
4258636597181710000,F,30,F29-32
3235635318498360000,M,32,M32-38
3163787231116810000,M,33,M32-38
2824416853940960000,M,19,M22-
-4249929128118590000,M,37,M32-38
6783516722606730000,F,29,F29-32
-2777441777805530000,F,29,F29-32
-5693154089237300000,F,29,F29-32
-225262823313738000,F,29,F29-32
2724015352885630000,F,29,F29-32
-8448590394900140000,M,27,M27-28
338283462287728000,M,26,M23-26
4704542779027360000,M,33,M32-38
1975516998960920000,F,30,F29-32
7116779436642130000,M,29,M29-31
8543316339499760000,F,33,F33-42
6823319585575050000,M,50,M39+
583157140721431000,F,34,F33-42
72999436528877200,F,34,F33-42
7244527048146460000,F,31,F29-32
-7799207332505440000,M,31,M29-31
-4555256352171650000,F,22,F23-
9022373770725490000,F,22,F23-
1714287570154590000,F,48,F43+
-2141028849447510000,M,52,M39+
-3007290059075920000,F,31,F29-32
6677898008001740000,F,31,F29-32
2130490974990660000,M,25,M23-26
-1791818818985500000,M,25,M23-26
8724849398259740000,F,27,F27-28
-2135911353025150000,M,26,M23-26
-5977779196775740000,M,41,M39+
-9134556132023500000,F,29,F29-32
-49730763913378400,M,31,M29-31
1459080085082040000,M,31,M29-31
7050857104490950000,M,34,M32-38
-5401753062424810000,M,51,M39+
3604511296492840000,M,32,M32-38
-3226520822719880000,M,27,M27-28
-2094691511186450000,M,22,M22-
-4466935442609900000,M,32,M32-38
-6785716032312310000,M,38,M32-38
3500307892205020000,F,33,F33-42
-1117454837751950000,M,35,M32-38
8118936935913360000,M,25,M23-26
-1357401245479670000,F,39,F33-42
-318708851494203000,F,38,F33-42
7610335843466640000,M,24,M23-26
2320542621284950000,M,24,M23-26
6348079742918180000,M,24,M23-26
1444928900010810000,M,39,M39+
3744909594455280000,M,46,M39+
5255430446391710000,M,27,M27-28
-7650841846815490000,M,26,M23-26
-6797960682712450000,M,30,M29-31
-8146966056838940000,M,25,M23-26
-9153245537488280000,M,25,M23-26
-360233945138979000,F,39,F33-42
1663389245555040000,M,27,M27-28
5805575799056440000,M,42,M39+
6448757979883410000,M,36,M32-38
-954680535608637000,F,24,F24-26
3654345234677910000,F,24,F24-26
7562411939803510000,F,45,F43+
-2874573589030710000,F,26,F24-26
-6652140857336420000,M,31,M29-31
-3174514444476360000,F,29,F29-32
8972321560616450000,M,35,M32-38
-4935335315811960000,M,35,M32-38
8276999935602520000,M,39,M39+
3402994260166620000,F,32,F29-32
5108142823291110000,M,45,M39+
3471451329225030000,M,31,M29-31
-6791581020624210000,F,29,F29-32
-2094586929577580000,M,29,M29-31
-2683545177557240000,F,47,F43+
-4214293157750790000,M,29,M29-31
1459738584733670000,M,29,M29-31
1469006017306950000,M,24,M23-26
5297854804165140000,F,45,F43+
7231270196225930000,M,22,M22-
700830215931679000,M,25,M23-26
-637891494492896000,M,25,M23-26
8668918402869140000,F,28,F27-28
1888521065893970000,F,28,F27-28
2825141601023670000,F,42,F33-42
4449470138586520000,F,30,F29-32
-8366131750644250000,M,22,M22-
-3534551426935880000,F,47,F43+
1502461605760470000,F,44,F43+
-4771881468336900000,M,40,M39+
-5685117998885560000,M,36,M32-38
8161044391542210000,M,52,M39+
-4198791070540130000,M,37,M32-38
-8475312114246070000,M,37,M32-38
1319324274909530000,F,29,F29-32
-1177635519148500000,F,29,F29-32
4189762977638530000,F,29,F29-32
-3077937920672000000,F,28,F27-28
-3244096424715230000,F,28,F27-28
-4671788193261470000,F,28,F27-28
113979950782839000,M,30,M29-31
503143391156241000,M,30,M29-31
-6042908553950250000,M,27,M27-28
-345871495580169000,M,35,M32-38
9106723912388890000,M,29,M29-31
7284031010300950000,F,37,F33-42
4032612108650090000,M,32,M32-38
8352592309255700000,M,34,M32-38
7705384213380230000,M,33,M32-38
1123870157669170000,M,27,M27-28
7921733448240570000,M,42,M39+
2399914927947530000,M,42,M39+
6277401130315430000,M,26,M23-26
5441095450799830000,M,30,M29-31
-4005849076109410000,M,63,M39+
-179790220800402000,M,26,M23-26
7866598770427890000,M,35,M32-38
-5493563917628180000,M,29,M29-31
9203006693435650000,M,27,M27-28
2355041056604310000,M,38,M32-38
1411171847723420000,M,25,M23-26
-6985934243613820000,M,34,M32-38
7352701797930090000,F,27,F27-28
8848742706511920000,M,30,M29-31
-6583823906225660000,M,21,M22-
-7771398025617810000,M,21,M22-
-7691879765552450000,M,35,M32-38
2464684863257430000,M,35,M32-38
6604280119591140000,M,42,M39+
-20667435396379700,M,30,M29-31
5581064628061790000,M,29,M29-31
-8587610512543130000,F,27,F27-28
5413704986152650000,M,45,M39+
3504563730603380000,F,60,F43+
6863112459383280000,M,33,M32-38
3675909796369120000,M,33,M32-38
-5317745724179400000,M,37,M32-38
6423288831466630000,M,27,M27-28
8312667491634460000,M,26,M23-26
-8164663270002140000,F,34,F33-42
-1759997501338680000,M,26,M23-26
3036600127070430000,M,38,M32-38
3603255247253710000,F,42,F33-42
-6294981216321530000,F,48,F43+
-167571000635525000,M,39,M39+
-1045655858343630000,F,27,F27-28
1255915588387990000,M,47,M39+
-9211636527106620000,M,31,M29-31
6140506024248420000,F,22,F23-
3679272092861000000,M,29,M29-31
1187259603731280000,M,29,M29-31
-655444116637802000,M,47,M39+
2510851418746740000,M,36,M32-38
-7702849433553360000,M,24,M23-26
-7344170352548050000,M,24,M23-26
-1176968711259010000,M,29,M29-31
6427638870670310000,M,20,M22-
-4277494943660350000,M,47,M39+
-2213794781340640000,F,33,F33-42
5112375494822100000,M,46,M39+
-4597930075539490000,M,46,M39+
-2176202895717020000,M,30,M29-31
-4837437557348000000,M,35,M32-38
678054189899995000,M,35,M32-38
3634584596342580000,M,27,M27-28
6242045993734230000,M,61,M39+
7497850677598680000,F,23,F23-
-3641970131210380000,M,33,M32-38
8522618421597950000,M,28,M27-28
-6018160454764520000,F,39,F33-42
6788691223026390000,M,29,M29-31
5785252018416190000,M,35,M32-38
-6739684703749050000,M,43,M39+
-5066301088967300000,M,23,M23-26
-3352337094847390000,M,21,M22-
3050020885746900000,M,21,M22-
7464518683724720000,F,33,F33-42
4977791024608210000,M,31,M29-31
6824596868855220000,M,44,M39+
-7044168722752090000,M,20,M22-
3344241795823200000,M,24,M23-26
6703232543519770000,F,60,F43+
589557985088430000,F,35,F33-42
8946598892027650000,F,29,F29-32
-7083853366829400000,M,29,M29-31
-2001567280649170000,M,29,M29-31
646307682968211000,M,24,M23-26
-4986392845443400000,F,33,F33-42
-5487152191347780000,F,44,F43+
2662126988550130000,F,78,F43+
-6630551694025650000,F,29,F29-32
7958696823479450000,F,29,F29-32
9047713447193240000,M,24,M23-26
-4307993308323970000,M,28,M27-28
5861119094982130000,M,31,M29-31
-4377371438971170000,M,31,M29-31
-4374356101743560000,M,31,M29-31
1442070159850620000,M,29,M29-31
1352886169581410000,M,35,M32-38
-1940964897031620000,M,27,M27-28
6019832031671410000,M,24,M23-26
2048082274046890000,M,24,M23-26
-6032484110824390000,M,24,M23-26
-1582252749329280000,M,23,M23-26
6655529407431740000,M,31,M29-31
-1474792823754480000,M,30,M29-31
1029904277495980000,M,30,M29-31
720756603628213000,M,27,M27-28
6310961650826740000,F,27,F27-28
2407358055337820000,M,27,M27-28
-4217973406658210000,M,47,M39+
-5179541163565130000,M,45,M39+
-4551768034596680000,M,39,M39+
6356675767217300000,M,24,M23-26
6008495818349830000,M,32,M32-38
-2790183384476760000,M,37,M32-38
9149103074456470000,M,30,M29-31
1695761527019640000,M,34,M32-38
-5383319989100700000,M,34,M32-38
-8386606593312860000,M,29,M29-31
4889327164992410000,M,29,M29-31
-6153673241974140000,M,41,M39+
-2037634822852280000,M,38,M32-38
-7096688265900000000,M,26,M23-26
-8679605999382300000,M,56,M39+
-1983931105460830000,M,39,M39+
-3846422794537920000,M,37,M32-38
-7120133646302950000,M,40,M39+
4573555264680860000,M,38,M32-38
-9080632005894830000,M,21,M22-
5239934703976620000,M,38,M32-38
-4093873478471270000,M,26,M23-26
-3808211154648600000,M,28,M27-28
-3528523897959650000,M,39,M39+
-5920211050759230000,M,39,M39+
-5177331251703370000,M,32,M32-38
291962812379126000,M,32,M32-38
-3861862675756400000,M,32,M32-38
8353740206445730000,M,23,M23-26
1163952773185530000,F,39,F33-42
-873214840155221000,M,35,M32-38
-6058512568653760000,F,35,F33-42
-6868379650375890000,M,26,M23-26
-2330036225904380000,F,25,F24-26
1822607312031870000,M,35,M32-38
3288693535742390000,M,26,M23-26
3439985609749920000,M,39,M39+
-1688527666462530000,M,44,M39+
-2828331636363730000,M,44,M39+
-602351730740783000,M,44,M39+
1325987205615110000,M,44,M39+
-2802543599440680000,M,38,M32-38
6090310796599930000,M,27,M27-28
-5514406392341150000,F,27,F27-28
3796280135236390000,F,22,F23-
332380340265563000,F,37,F33-42
7123479605708690000,F,37,F33-42
6026687977234910000,F,37,F33-42
4505562063265670000,F,37,F33-42
4981382137382970000,M,34,M32-38
-236963596009956000,M,25,M23-26
-229180280378644000,F,31,F29-32
812521723479166000,M,29,M29-31
4530013951351880000,F,42,F33-42
1318303222997850000,F,33,F33-42
5031308204970220000,M,24,M23-26
7576677397230410000,M,24,M23-26
7552099237693800000,M,23,M23-26
1119943039459730000,M,32,M32-38
8780875081637880000,M,36,M32-38
1043546028888150000,M,29,M29-31
-8295193153214870000,M,31,M29-31
1874308258075080000,M,33,M32-38
-184400817050772000,M,26,M23-26
-7603777855807300000,M,32,M32-38
-5181402337880390000,M,50,M39+
8134709830571840000,M,28,M27-28
-7065078100475710000,M,27,M27-28
552498749193063000,F,22,F23-
8761770737926120000,F,22,F23-
-4844946365893480000,M,32,M32-38
-5000507903395020000,M,36,M32-38
-244415756622179000,F,45,F43+
-3086495925588500000,M,25,M23-26
4690577651905750000,M,26,M23-26
1895275241111410000,M,29,M29-31
4978373534460370000,M,45,M39+
2973015864073160000,F,27,F27-28
2080579331913160000,F,43,F43+
8720083342483820000,M,27,M27-28
2389384819016310000,M,28,M27-28
-5611722417377620000,M,38,M32-38
-557453964647696000,M,37,M32-38
5980555560479010000,M,28,M27-28
2772316738047300000,F,33,F33-42
-6233661495000210000,M,35,M32-38
8336875548926730000,M,39,M39+
-280792878984386000,M,27,M27-28
-8665947049306800000,M,28,M27-28
-4545977437136430000,M,28,M27-28
-8382006046590130000,M,65,M39+
-5693598844768110000,F,38,F33-42
1294088097492380000,M,29,M29-31
-8556957033165970000,M,33,M32-38
4603814831359860000,F,27,F27-28
-2441997096530000000,F,25,F24-26
-6877287750680910000,M,27,M27-28
5993353186365950000,M,35,M32-38
-429243268324577000,M,33,M32-38
8068167578165640000,F,21,F23-
-476136805185072000,F,24,F24-26
2239743897399910000,F,24,F24-26
-6352016173918600000,F,24,F24-26
-1225265882896380000,M,26,M23-26
6103442463969170000,F,24,F24-26
6607167843813490000,M,23,M23-26
7567769845262800000,F,27,F27-28
-6575679788532850000,M,22,M22-
-8373775120252180000,F,28,F27-28
-3060960912794420000,F,32,F29-32
-2263386497719970000,F,25,F24-26
2425712196469090000,M,37,M32-38
5819828849011380000,M,29,M29-31
-4303306460426300000,M,31,M29-31
-3151287449207970000,F,28,F27-28
-6908175429289820000,F,24,F24-26
7283212553045810000,M,48,M39+
3455329865379030000,F,23,F23-
8122538296654840000,F,23,F23-
6545829736541130000,F,32,F29-32
-1352971490438520000,M,58,M39+
1830977800029580000,M,23,M23-26
7589944181455400000,M,31,M29-31
-4562868606216650000,M,23,M23-26
-8267593724208020000,M,22,M22-
-4462949239456840000,F,33,F33-42
8139979595744730000,M,31,M29-31
4489130943120470000,M,33,M32-38
7855796739862820000,M,33,M32-38
-7232119701913720000,M,35,M32-38
2916492334541420000,M,21,M22-
-8556224142279940000,M,26,M23-26
8212624264342830000,F,46,F43+
5746873171138930000,M,22,M22-
-1889033480958010000,F,42,F33-42
2195335594844090000,F,42,F33-42
3307527014822290000,F,26,F24-26
-7994663434773870000,M,26,M23-26
4474091956427430000,F,21,F23-
-4100601935100140000,M,20,M22-
-8345182684710430000,F,28,F27-28
4919779603258630000,M,30,M29-31
-1954607149185070000,M,31,M29-31
1756263286013250000,F,25,F24-26
9207787349472350000,F,25,F24-26
5688826388913060000,F,24,F24-26
3934934395617090000,M,30,M29-31
1356097039154020000,F,24,F24-26
6239423502551980000,F,48,F43+
-6188687531249680000,M,29,M29-31
-5762038527485740000,M,22,M22-
9184963992247650000,M,28,M27-28
-7052719623154700000,M,25,M23-26
5497917570934920000,M,25,M23-26
5199501260865890000,M,22,M22-
4817078779940160000,M,22,M22-
-51750163801907800,F,22,F23-
1111484923755790000,F,22,F23-
4100316791460100000,M,20,M22-
-1891588492640040000,F,26,F24-26
6531672631308740000,M,43,M39+
7766418226696440000,M,26,M23-26
3821765784939850000,M,23,M23-26
8427667165276510000,M,34,M32-38
-5424968430956420000,F,24,F24-26
-7324369287810340000,M,23,M23-26
-1686327245264620000,M,42,M39+
-920676380266502000,F,22,F23-
-3132167788374470000,M,26,M23-26
2566965360077720000,F,24,F24-26
6341873412278030000,F,29,F29-32
283151695342775000,F,29,F29-32
-2405582520624040000,F,29,F29-32
6452262489405530000,F,24,F24-26
-3654173299440070000,F,24,F24-26
-5533049833247750000,M,21,M22-
8567125034063840000,F,25,F24-26
3129094543007770000,F,20,F23-
8802247658835310000,F,27,F27-28
-6896857513293590000,F,27,F27-28
7099572251426070000,F,21,F23-
4169579345658390000,M,21,M22-
-320934505147790000,M,21,M22-
-3711568206807810000,F,30,F29-32
-2514012772375910000,M,39,M39+
4360315587716020000,M,20,M22-
-7783426489126420000,M,20,M22-
6901454746287510000,M,20,M22-
991137519522277000,M,20,M22-
2816058300929420000,M,20,M22-
-7284154769153380000,M,20,M22-
72619722599122400,M,20,M22-
-1633084237568250000,F,22,F23-
266598286759225000,M,29,M29-31
-6403572455003970000,M,35,M32-38
7504679594395100000,M,36,M32-38
4789204688675560000,M,29,M29-31
-2726030791460210000,F,22,F23-
-6777739487963550000,M,23,M23-26
8429238081983040000,M,41,M39+
7105286326770840000,F,30,F29-32
7825425485977200000,F,30,F29-32
-5462293806292380000,M,21,M22-
-1847317782088670000,M,20,M22-
5615244592642490000,M,20,M22-
4871684940984050000,F,34,F33-42
8497952435614720000,F,34,F33-42
3608732192276700000,M,26,M23-26
8512805238634500000,M,21,M22-
-1562096238246400000,M,26,M23-26
-3164037806420050000,F,21,F23-
-3430460284808040000,M,29,M29-31
4782818509742230000,M,34,M32-38
-2801576702987900000,M,34,M32-38
8525424737557210000,M,22,M22-
4899921266881360000,M,22,M22-
8336949864011000000,F,36,F33-42
-5600730878380480000,F,31,F29-32
-2470383375942730000,F,31,F29-32
8737555301670840000,M,19,M22-
-2289980470972910000,M,23,M23-26
8249445891956830000,M,23,M23-26
6162372511985040000,M,23,M23-26
-3282973596598690000,M,34,M32-38
-8263208485823440000,M,27,M27-28
-9177698159910450000,F,32,F29-32
5203430653181720000,M,17,M22-
356520478854373000,F,25,F24-26
7678236292142480000,F,27,F27-28
492533159890295000,F,21,F23-
-4893865424406330000,F,32,F29-32
-6864731714065740000,F,21,F23-
-22473684698194900,M,17,M22-
473071926003296000,M,19,M22-
-5729489580637810000,F,19,F23-
-7345618372322050000,F,19,F23-
1208777562949890000,F,31,F29-32
385823142853736000,F,31,F29-32
-4735382375325690000,M,22,M22-
-4417546389678320000,F,21,F23-
-295437681750492000,M,20,M22-
1557837677453880000,F,27,F27-28
8325412457274120000,F,27,F27-28
989663811919883000,M,29,M29-31
8283059944440950000,M,29,M29-31
-4950499031450220000,M,29,M29-31
8659293525381560000,M,21,M22-
5491270369830480000,F,45,F43+
2877482175246870000,M,20,M22-
-2451484506636620000,M,24,M23-26
3099930789019940000,M,29,M29-31
-5316473273801260000,F,20,F23-
-6072435932733730000,M,26,M23-26
1244924161226790000,M,26,M23-26
-8170146072812130000,F,22,F23-
7837307528716140000,F,22,F23-
-1356902156255250000,F,20,F23-
-3898045713019770000,M,23,M23-26
-3307135362322430000,M,23,M23-26
4057329207163320000,F,22,F23-
-1315678062659180000,F,29,F29-32
6680563250977340000,M,19,M22-
7469255792590950000,F,23,F23-
-1668558797524370000,F,29,F29-32
-797597256965011000,F,24,F24-26
-333661782897496000,F,24,F24-26
-3216501563050430000,F,24,F24-26
-1526622617359360000,F,45,F43+
7491319753979850000,M,22,M22-
1228607175978500000,M,23,M23-26
-8519318732470790000,F,42,F33-42
7651091592968730000,F,42,F33-42
8556982416315210000,M,24,M23-26
5953817662862880000,M,24,M23-26
7781851798734730000,M,24,M23-26
-5642148977702920000,M,24,M23-26
-6629944130878280000,M,24,M23-26
4689994512548050000,F,27,F27-28
-1727737396078290000,F,30,F29-32
-6381794413390690000,F,19,F23-
7729148314349450000,F,21,F23-
-1843450627111940000,M,21,M22-
-212191571026065000,M,21,M22-
-7204440477456770000,M,20,M22-
-3293430962013610000,M,25,M23-26
-1701191455664520000,M,25,M23-26
-9008782116598550000,M,23,M23-26
-9170975645986900000,M,23,M23-26
-3222540460345560000,M,28,M27-28
-6527390788320720000,M,21,M22-
-1012430198114500000,M,21,M22-
-5926113374593670000,M,29,M29-31
-2514431717601440000,M,29,M29-31
7853842154200080000,F,28,F27-28
3812807856177760000,M,23,M23-26
-5238266931153650000,M,21,M22-
-5175023799434630000,F,31,F29-32
-2506093401230350000,F,20,F23-
2266863185840540000,M,27,M27-28
-3927753740422350000,F,29,F29-32
6038400330950350000,F,22,F23-
-4861923574095460000,F,34,F33-42
5225546985734140000,M,30,M29-31
5087686479453030000,M,22,M22-
-3199904022391180000,M,22,M22-
-9015902738711770000,M,22,M22-
-6500915528694480000,M,23,M23-26
-8657137191584680000,M,22,M22-
8680799468292410000,F,25,F24-26
8597136060207930000,M,31,M29-31
8507377938081140000,F,24,F24-26
-6962276291057390000,M,21,M22-
-7315337515783860000,M,21,M22-
-8480612723734030000,M,40,M39+
7132583961483920000,M,38,M32-38
6494711304418130000,M,20,M22-
-8708762219718080000,M,20,M22-
3499681829978530000,M,23,M23-26
-1937027962234290000,F,38,F33-42
2287449004006640000,F,28,F27-28
5090980568587830000,F,28,F27-28
5132236745990360000,F,28,F27-28
-4948056472678470000,M,36,M32-38
-3620183035368750000,F,21,F23-
-80890961266952000,F,25,F24-26
7344017656613380000,F,24,F24-26
4044377088870910000,F,16,F23-
1478614427793100000,F,23,F23-
5286209527709500000,M,20,M22-
-7603156713792740000,M,22,M22-
-8948604730896680000,M,26,M23-26
-6159616074389640000,F,29,F29-32
-6944850403989400000,M,25,M23-26
-4289910579121080000,F,28,F27-28
