Unnamed: 0,device_id,gender,age,group,phone_brand,device_model,event_id,timestamp,city,state,longitude,latitude
2056,6.239423502551982e+18,F,48,F43+,Samsung,A670t,68929.0,2016-05-01 06:19:22,Tirupati,AndhraPradesh,79.47999399999998,13.664982
2063,-2.5140127723759176e+18,M,39,M39+,Xiaomi,红米,1416824.0,2016-05-07 23:47:46,Samalkot,AndhraPradesh,82.26515300000001,17.137933
2069,-7.284154769153384e+18,M,20,M22-,Xiaomi,MI 2S,8250.0,2016-05-01 10:12:14,Visakhapatnam,AndhraPradesh,83.333851,17.818804999999994
2075,-4.417546389678329e+18,F,21,F23-,vivo,Y19T,102153.0,2016-05-07 14:31:05,Tura,Meghalaya,90.259116,25.53355
2086,-6.3817944133907e+18,F,19,F23-,Samsung,Galaxy Grand 2,300111.0,2016-05-07 08:09:20,Dhone,AndhraPradesh,77.91381299999998,15.506931
2094,-7.204440477456772e+18,M,20,M22-,Huawei,荣耀3C,348303.0,2016-05-02 12:20:48,Gudur,AndhraPradesh,79.918987,14.234801999999998
2098,5.08768647945304e+18,M,22,M22-,vivo,X3T,8233.0,2016-05-01 10:20:25,Visakhapatnam,AndhraPradesh,83.38179099999998,17.747778
2285,-1.6539683203814095e+18,F,29,F29-32,Samsung,Galaxy S3 Neo+,224225.0,2016-05-03 11:02:16,Anantapur,AndhraPradesh,77.62281899999998,14.787797
2293,-7.360919511180965e+18,F,22,F23-,Huawei,Ascend P7,24644.0,2016-05-02 21:08:01,Narasapur,AndhraPradesh,81.71898300000002,16.507443
2401,-6.177909895992177e+18,M,50,M39+,Xiaomi,红米,97416.0,2016-05-07 17:50:55,Palakollu,AndhraPradesh,81.811981,16.576535999999994
2445,-4.629037064955879e+18,F,24,F24-26,OPPO,N1T,7447.0,2016-05-04 09:12:53,Visakhapatnam,AndhraPradesh,83.38247199999998,17.803287
2498,3.560320126855562e+18,F,22,F23-,Coolpad,大神F1,67713.0,2016-05-02 03:48:53,Aizawl,Mizoram,92.767178,23.750432
2517,2.9931204532515386e+17,F,32,F29-32,Huawei,Mate 2,2180199.0,2016-05-07 09:24:55,Karimnagar,AndhraPradesh,79.216748,18.465442000000003
2519,3.68031405969625e+18,F,26,F24-26,Samsung,Galaxy Trend DUOS 2,182244.0,2016-05-01 18:15:59,Yemmiganur,AndhraPradesh,77.531712,15.824032
2531,-5.164592583350861e+18,F,24,F24-26,Xiaomi,MI 2S,34938.0,2016-05-03 07:33:40,Bodhan,AndhraPradesh,77.95365600000002,18.699219
2581,-8.556583065568227e+18,F,21,F23-,vivo,Xperia Z,9562.0,2016-05-06 10:14:47,Visakhapatnam,AndhraPradesh,83.382882,17.740629000000006
2587,-7.76210033977062e+18,M,29,M29-31,Xiaomi,红米note,99431.0,2016-05-06 18:14:07,Proddatur,AndhraPradesh,78.613727,14.773428
2592,7.56316201378976e+16,M,24,M23-26,Xiaomi,MI 2S,239200.0,2016-05-04 23:17:01,Tandur,AndhraPradesh,77.620542,17.326666
2599,6.644827972655619e+18,M,42,M39+,Xiaomi,红米note,93316.0,2016-05-02 11:20:20,Karaikal,Pondicherry,79.891814,10.964597999999999
2700,-6.505853755049405e+17,F,19,F23-,Huawei,Y511-T00,228321.0,2016-05-02 15:13:05,Dhone,AndhraPradesh,77.97780499999998,15.457045
2702,5.072498643140688e+18,F,21,F23-,Huawei,荣耀3X畅玩版,167757.0,2016-05-03 08:11:20,Karimnagar,AndhraPradesh,79.14831600000002,18.505249
2723,-1.09174389401684e+18,M,22,M22-,Xiaomi,红米,262440.0,2016-05-07 20:52:32,Alwal,AndhraPradesh,78.625867,17.550542999999998
2733,5.961561254057328e+18,F,37,F33-42,OPPO,Find 7,50688.0,2016-05-06 16:25:26,Ongole,AndhraPradesh,80.10193699999998,15.585879
2821,-7.999485929490179e+18,M,24,M23-26,vivo,Xplay,583882.0,2016-05-01 18:29:33,Kakinada,AndhraPradesh,82.28568999999997,16.978215000000002
2825,-3.2856490884228936e+18,F,24,F24-26,Xiaomi,MI 4,673140.0,2016-05-07 13:39:04,Eluru,AndhraPradesh,81.129832,16.765217
2836,-7.427087780004261e+17,F,35,F33-42,Xiaomi,红米1S,185967.0,2016-05-05 20:42:04,Srikalahasti,AndhraPradesh,79.785641,13.830891000000001
2844,-8.034770349159111e+18,F,44,F43+,vivo,Y17T,67321.0,2016-05-04 02:40:39,Dhone,AndhraPradesh,77.931072,15.50915
2850,5.605080331284238e+18,F,24,F24-26,Samsung,Galaxy S3,282559.0,2016-05-06 15:32:29,Tadepalle,AndhraPradesh,80.610878,16.540817
2865,5.885184459706711e+18,F,23,F23-,Xiaomi,红米,36834.0,2016-05-04 08:12:26,Palwancha,AndhraPradesh,80.76730900000003,17.699071
3044,-4.5307958125347937e+18,F,22,F23-,Samsung,Galaxy Premier,226480.0,2016-05-06 13:03:36,Tandur,AndhraPradesh,77.66978,17.273787
3055,-7.421604560593423e+17,M,19,M22-,Huawei,荣耀3X畅玩版,50909.0,2016-05-07 16:06:45,Dharmavaram,AndhraPradesh,77.750413,14.46544
3060,5.066730684218633e+18,F,29,F29-32,Huawei,Mate 2,6498.0,2016-05-03 08:07:44,Visakhapatnam,AndhraPradesh,83.31599299999998,17.764833
3097,3.104713967976642e+18,F,26,F24-26,Samsung,Galaxy S2,1006268.0,2016-05-07 07:22:58,Bhongir,AndhraPradesh,78.94600200000002,17.56004
3103,-7.693903281092131e+18,F,24,F24-26,Huawei,荣耀6,813632.0,2016-05-04 11:00:33,Proddatur,AndhraPradesh,78.57641600000002,14.791692
3106,6.523804839608178e+18,M,35,M32-38,Samsung,Galaxy Note,8035.0,2016-05-07 09:37:35,Visakhapatnam,AndhraPradesh,83.316135,17.8024
3143,6.313941911536325e+18,M,27,M27-28,OPPO,R7,32959.0,2016-05-04 05:32:48,Bapatla,AndhraPradesh,80.51477,15.946073
3510,2.7393642007582577e+18,F,30,F29-32,Samsung,S898t,7434.0,2016-05-04 09:00:08,Visakhapatnam,AndhraPradesh,83.312844,17.809389000000003
3648,-6.541698213880552e+18,F,29,F29-32,OPPO,R821T,1010343.0,2016-05-01 11:50:46,Palakollu,AndhraPradesh,81.808755,16.604271
3650,3.650807967073628e+18,M,29,M29-31,Xiaomi,GN700W,8653.0,2016-05-03 10:25:04,Visakhapatnam,AndhraPradesh,83.340184,17.785774
3679,4.003591541977361e+18,M,21,M22-,Xiaomi,MI 2S,156349.0,2016-05-07 17:07:26,Kallur,AndhraPradesh,77.85358000000002,15.717991
3761,3.8956721698355743e+18,M,39,M39+,OPPO,R1S,8403.0,2016-05-02 10:33:30,Visakhapatnam,AndhraPradesh,83.335047,17.799500000000005
4112,4.689537835878957e+18,F,25,F24-26,Samsung,A670t,8991.0,2016-05-04 10:29:22,Visakhapatnam,AndhraPradesh,83.360568,17.753770000000006
4133,-3.210702861490942e+18,F,24,F24-26,Samsung,Galaxy Note 2,142451.0,2016-05-04 19:19:54,LalbahadurNagar,AndhraPradesh,78.535641,17.523421
4134,2.4901312411239624e+18,F,46,F43+,Huawei,荣耀畅玩4X,9297.0,2016-05-05 10:21:26,Visakhapatnam,AndhraPradesh,83.39564899999998,17.811089000000006
4236,2.774087709741435e+17,M,25,M23-26,Samsung,Galaxy Note 3,21264.0,2016-05-01 19:04:46,Tirupati,AndhraPradesh,79.49429599999998,13.718214
4358,6.772321433369645e+18,M,33,M32-38,Samsung,Galaxy Tab P3108,2683861.0,2016-05-05 20:59:05,Gadwal,AndhraPradesh,77.816087,16.246159
4360,-1.6499106669205112e+18,F,38,F33-42,OPPO,R2017,138190.0,2016-05-01 18:07:59,Patancheru,AndhraPradesh,78.331007,17.562820000000002
4373,-3.801293050382332e+18,F,49,F43+,Samsung,A708t,2271842.0,2016-05-05 19:30:03,Adilabad,AndhraPradesh,78.588335,19.757465
4376,4.071303289662192e+17,F,28,F27-28,Huawei,荣耀3C,552888.0,2016-05-06 14:30:08,Vuyyuru,AndhraPradesh,80.897223,16.429635
4385,-1.1502910104770322e+18,M,29,M29-31,Huawei,荣耀3X畅玩版,2745458.0,2016-05-06 11:20:33,Kakinada,AndhraPradesh,82.299138,16.990241
4386,7.440523801500356e+17,F,35,F33-42,Xiaomi,GN151,7268.0,2016-05-03 09:15:48,Visakhapatnam,AndhraPradesh,83.360723,17.801025
4468,-6.999850237256314e+18,F,28,F27-28,Samsung,Galaxy Note 2,886840.0,2016-05-03 21:49:13,Mancheral,AndhraPradesh,79.48607200000002,18.922803
4472,-6.929618466649076e+18,F,38,F33-42,Samsung,Galaxy S5,6401.0,2016-05-02 08:27:59,Visakhapatnam,AndhraPradesh,83.38703199999998,17.818985
4588,6.155786743391751e+18,F,24,F24-26,Xiaomi,MI 3,9715.0,2016-05-06 10:12:17,Visakhapatnam,AndhraPradesh,83.341475,17.740482
4619,2.9717027986076554e+18,F,31,F29-32,TCL,P520L,1778576.0,2016-05-05 16:44:09,Rajamahendri,AndhraPradesh,81.83566300000003,17.07992
4621,8.847582167341192e+18,F,31,F29-32,Xiaomi,MI 4,53848.0,2016-05-04 18:03:38,Kodar,AndhraPradesh,80.048006,17.070495
4628,3.859717728146503e+18,F,28,F27-28,Xiaomi,MI 2S,8549.0,2016-05-02 10:29:46,Visakhapatnam,AndhraPradesh,83.36842899999998,17.744505
4839,7.523431969020502e+18,M,20,M22-,Huawei,荣耀6,2108563.0,2016-05-07 10:35:23,PortBlair,AndamanandNicobarIslands,92.848431,11.74697
4841,8.735586476625302e+17,F,37,F33-42,Xiaomi,MI 2,23983.0,2016-05-05 20:18:31,Shimla,HimachalPradesh,77.2203,31.16722
5278,1.1428743351771578e+18,M,23,M23-26,Huawei,荣耀3X畅玩版,9644.0,2016-05-06 09:56:46,Visakhapatnam,AndhraPradesh,83.315382,17.818265
5307,-8.976749692473181e+17,M,23,M23-26,Lenovo,V818,1182252.0,2016-05-01 17:21:47,Sikandarabad,AndhraPradesh,78.60068100000002,17.544916999999998
5309,-1.9247977395725448e+18,F,23,F23-,Huawei,Ascend G700T,7401.0,2016-05-04 09:16:13,Visakhapatnam,AndhraPradesh,83.374786,17.74128
5468,6.712064265491646e+18,F,23,F23-,Samsung,Galaxy S4,222722.0,2016-05-03 10:32:11,Kadiri,AndhraPradesh,78.21752699999998,14.133124
5474,6.550869071906479e+18,F,27,F27-28,Samsung,Galaxy Note 3,6993.0,2016-05-02 09:38:07,Visakhapatnam,AndhraPradesh,83.322026,17.792828
5532,-5.493342625013032e+18,M,21,M22-,vivo,Y20T,980209.0,2016-05-05 07:14:45,Guntur,AndhraPradesh,80.51424499999997,16.346277999999998
5537,8.998232551797472e+18,F,64,F43+,Xiaomi,MI 2S,8813.0,2016-05-03 10:01:18,Visakhapatnam,AndhraPradesh,83.314165,17.751821
5692,-3.4241982110481347e+18,F,60,F43+,Samsung,Galaxy Note 2,22289.0,2016-05-05 19:51:04,Tandur,AndhraPradesh,77.64595299999998,17.319399
5965,-5.557399253078105e+18,M,26,M23-26,vivo,X1ST,336324.0,2016-05-06 02:28:29,Mangalagiri,AndhraPradesh,80.60952900000002,16.503394
5966,-5.163124129661938e+18,M,29,M29-31,HTC,Desire 820,259752.0,2016-05-01 19:38:59,Malkajgiri,AndhraPradesh,78.66033,17.623517
6005,7.482926726527747e+18,F,63,F43+,Huawei,G750-T20,121205.0,2016-05-04 01:35:16,Guntakal,AndhraPradesh,77.455138,15.278593
6035,7.292217351097325e+18,M,63,M39+,Xiaomi,红米1S,6708.0,2016-05-01 09:50:53,Visakhapatnam,AndhraPradesh,83.34469399999998,17.796699
6214,1.7677927488650596e+18,F,26,F24-26,Samsung,Galaxy Note 3,133720.0,2016-05-05 13:58:22,Ramagundam,AndhraPradesh,79.52732900000002,18.826332999999998
6217,-5.164883623620348e+18,M,23,M23-26,Samsung,Galaxy Mega 5.8,9171.0,2016-05-05 10:00:15,Visakhapatnam,AndhraPradesh,83.36605300000002,17.77063
6312,-3.2656874040012764e+18,F,54,F43+,Samsung,Galaxy Note 3,1211949.0,2016-05-02 21:00:02,Srikakulam,AndhraPradesh,83.95651400000001,18.345929
6313,4.8965905703841e+18,M,37,M32-38,Huawei,G610T,6881.0,2016-05-01 09:16:52,Visakhapatnam,AndhraPradesh,83.366263,17.792442
6315,-5.735922861430216e+18,F,44,F43+,Huawei,荣耀6,552016.0,2016-05-01 14:44:25,Chirala,AndhraPradesh,80.37969100000002,15.870523
6334,-2.9110994737741204e+18,F,25,F24-26,Meizu,MX3,159894.0,2016-05-01 21:20:59,Bapatla,AndhraPradesh,80.556301,15.938088
6361,-1.3868393688388644e+18,F,38,F33-42,Xiaomi,红米note,6672.0,2016-05-07 08:05:52,Visakhapatnam,AndhraPradesh,83.38770600000002,17.745977
6395,-3.2642561892955105e+18,M,27,M27-28,Samsung,Galaxy S4,94417.0,2016-05-01 17:24:48,Kapra,AndhraPradesh,78.494963,17.389446
6435,3.4205882721732823e+18,M,27,M27-28,Samsung,Galaxy S4,65037.0,2016-05-07 02:51:45,Tadpatri,AndhraPradesh,78.075319,14.960445000000002
6449,8.912377906195041e+17,M,33,M32-38,Xiaomi,MI 3,222619.0,2016-05-02 10:19:08,Rayachoti,AndhraPradesh,78.833507,14.140857999999998
6531,1.4534572242501517e+18,F,46,F43+,Xiaomi,红米note,347232.0,2016-05-06 11:07:14,Tadepalle,AndhraPradesh,80.69935500000003,16.491243
6550,5.503243034493805e+18,M,25,M23-26,Huawei,荣耀6,130590.0,2016-05-01 12:36:56,Rayachoti,AndhraPradesh,78.794381,14.134045
6559,2.4456784038413715e+17,M,24,M23-26,Meizu,魅蓝NOTE,2957421.0,2016-05-03 21:06:48,Visakhapatnam,AndhraPradesh,83.33654,17.748306
6560,5.425626276788617e+18,F,22,F23-,Samsung,Galaxy Win,691954.0,2016-05-05 21:30:37,Bhimavaram,AndhraPradesh,81.560532,16.603583999999998
6565,8.078174393886466e+18,F,29,F29-32,Xiaomi,MI 1S,6699.0,2016-05-01 09:08:43,Visakhapatnam,AndhraPradesh,83.392876,17.806910000000006
6756,2.8960651248683453e+18,M,33,M32-38,Samsung,G7200,113281.0,2016-05-06 22:30:58,Bhongir,AndhraPradesh,78.95060799999997,17.536103
6804,7.284246812945861e+18,M,20,M22-,Samsung,S7568I,1727018.0,2016-05-02 19:22:54,Koratla,AndhraPradesh,78.814172,18.908255
6805,-3.545243108109221e+18,M,48,M39+,Xiaomi,MI 4,9850.0,2016-05-07 10:42:53,Visakhapatnam,AndhraPradesh,83.33643199999999,17.767267999999994
6968,7.091999214235574e+18,M,48,M39+,Xiaomi,MI 4,64665.0,2016-05-07 01:22:23,Piduguralla,AndhraPradesh,79.96677600000002,16.542105
7048,8.322969720837704e+18,M,37,M32-38,Xiaomi,红米note,172851.0,2016-05-05 10:10:52,Gudur,AndhraPradesh,79.90738300000002,14.178191
7108,-5.130627153854164e+18,F,47,F43+,Samsung,Galaxy S3,75226.0,2016-05-03 08:14:23,Tadepalle,AndhraPradesh,80.66547,16.530754
7153,-6.787006633655881e+18,F,28,F27-28,LG,L22,6057.0,2016-05-07 07:28:42,Visakhapatnam,AndhraPradesh,83.32433,17.79188
7173,-4.885511023310687e+18,M,32,M32-38,Xiaomi,红米1S,1171426.0,2016-05-03 08:54:29,Kondukur,AndhraPradesh,79.92774299999998,15.309239000000002
7176,-2.5815883525751942e+17,F,21,F23-,Xiaomi,红米note,927089.0,2016-05-04 12:41:08,Anakapalle,AndhraPradesh,83.05425100000002,17.705705000000005
7177,8.589896979608914e+18,M,42,M39+,Xiaomi,MI 4,959482.0,2016-05-02 14:32:25,Vijayawada,AndhraPradesh,80.68863999999998,16.569101
7181,9.206066759990542e+18,F,26,F24-26,Xiaomi,红米note,9029.0,2016-05-04 10:20:33,Visakhapatnam,AndhraPradesh,83.322401,17.808601
7217,9.116808794290179e+18,F,37,F33-42,Xiaomi,MI 3,311477.0,2016-05-02 16:33:21,Guntakal,AndhraPradesh,77.394389,15.269872
7225,-6.704066649940134e+18,F,45,F43+,Samsung,S7568,6781.0,2016-05-01 09:12:33,Visakhapatnam,AndhraPradesh,83.367671,17.750359
7566,-4.4815919299851776e+18,M,29,M29-31,Xiaomi,红米1S,243265.0,2016-05-02 06:36:01,Hindupur,AndhraPradesh,77.504239,13.893799
7580,1.530549107518439e+18,F,33,F33-42,Meizu,魅蓝NOTE,385457.0,2016-05-07 19:07:36,Gaddiannaram,AndhraPradesh,78.582977,17.373966
7584,7.962217501249224e+18,F,21,F23-,Coolpad,5891Q,6521.0,2016-05-04 08:40:25,Visakhapatnam,AndhraPradesh,83.34740599999998,17.761957000000006
7824,1.328346795374987e+18,M,29,M29-31,Youmi,3,158183.0,2016-05-06 19:16:32,Sattenapalle,AndhraPradesh,80.19294900000001,16.473702999999997
7833,2.9513909106518164e+18,F,44,F43+,Xiaomi,红米note增强版,9677.0,2016-05-06 10:20:25,Visakhapatnam,AndhraPradesh,83.34476699999998,17.826092000000006
7849,-2.9647909660447544e+18,F,20,F23-,Xiaomi,红米note,7049.0,2016-05-02 08:56:18,Visakhapatnam,AndhraPradesh,83.331216,17.77414
8003,-3.2557902124619325e+18,M,27,M27-28,Samsung,A208t,975509.0,2016-05-06 23:22:32,Proddatur,AndhraPradesh,78.616387,14.780306
8008,-5.280596124587209e+17,F,21,F23-,Xiaomi,MI 1S,7550.0,2016-05-04 09:27:54,Visakhapatnam,AndhraPradesh,83.3106,17.754782000000006
8069,2.8886261857899023e+18,M,46,M39+,Huawei,荣耀X2,6062.0,2016-05-01 08:30:59,Visakhapatnam,AndhraPradesh,83.33323299999998,17.754493
8076,-4.649519206433416e+18,F,24,F24-26,OPPO,R7,50330.0,2016-05-04 16:45:24,Kadiri,AndhraPradesh,78.250711,14.153466
8184,-6.855665802150938e+18,M,23,M23-26,Huawei,荣耀6,363871.0,2016-05-07 21:16:45,LalbahadurNagar,AndhraPradesh,78.576252,17.474485
8185,-6.645810317466924e+18,M,20,M22-,Xiaomi,MI 2,6136.0,2016-05-01 08:33:30,Visakhapatnam,AndhraPradesh,83.34911199999998,17.757671000000006
8444,3.113210805484705e+18,M,29,M29-31,Xiaomi,MI 2,1328876.0,2016-05-04 06:12:56,ChinnaChawk,AndhraPradesh,78.92044399999997,14.497594
8446,7.827033605639726e+18,M,27,M27-28,Samsung,A630t,1282314.0,2016-05-05 12:10:09,Gadwal,AndhraPradesh,77.871983,16.267304
8447,-5.127800531173613e+18,M,22,M22-,Meizu,MX2,6326.0,2016-05-02 08:01:22,Visakhapatnam,AndhraPradesh,83.39239599999998,17.808673000000006
8690,5.682447442811987e+18,M,36,M32-38,Samsung,Galaxy Trend DUOS 2,74005.0,2016-05-04 07:28:58,PortBlair,AndamanandNicobarIslands,92.801001,11.703997
8739,8.385834910634593e+18,M,30,M29-31,Samsung,Galaxy Note 3,6682.0,2016-05-01 09:17:09,Visakhapatnam,AndhraPradesh,83.33243399999998,17.779322
8865,5.90836095513492e+18,M,20,M22-,Coolpad,7295,136101.0,2016-05-03 16:02:08,UppalKalan,AndhraPradesh,78.58221400000002,17.443461
8885,-8.850778837077934e+18,M,47,M39+,Huawei,G620-L75,1240029.0,2016-05-02 05:42:51,Chilakalurupet,AndhraPradesh,80.245183,16.199315000000002
8887,-3.957335834219971e+18,M,25,M23-26,vivo,Xperia U,47219.0,2016-05-04 14:22:48,Narasapur,AndhraPradesh,81.799302,16.547021
8911,-4.071350968065044e+18,M,32,M32-38,Samsung,Galaxy Note 2,7279.0,2016-05-03 09:30:29,Visakhapatnam,AndhraPradesh,83.311161,17.78438
8969,-5.00474051282982e+18,F,21,F23-,Xiaomi,MI 3,9557.0,2016-05-06 10:43:02,Visakhapatnam,AndhraPradesh,83.387374,17.772035
9026,-7.50611897409818e+18,M,20,M22-,Huawei,Ascend G7,7726.0,2016-05-05 09:23:17,Visakhapatnam,AndhraPradesh,83.34240600000003,17.793118
9171,-5.131514672857279e+18,F,57,F43+,Meizu,MX4 Pro,102764.0,2016-05-05 19:33:49,Palwancha,AndhraPradesh,80.75363800000002,17.654338000000006
9245,3.908055296248151e+18,M,57,M39+,Huawei,Y300,7995.0,2016-05-07 09:50:44,Visakhapatnam,AndhraPradesh,83.360987,17.771253
9317,-5.915327823586676e+18,M,44,M39+,Weitu,VT898S,6098.0,2016-05-01 08:49:00,Visakhapatnam,AndhraPradesh,83.361538,17.756691
9517,-7.48311375183601e+18,M,44,M39+,Samsung,Galaxy S4,79735.0,2016-05-05 11:12:39,Tanuku,AndhraPradesh,81.720525,16.774387
9613,3.5448389726160097e+18,M,43,M39+,Coolpad,8705,481793.0,2016-05-01 07:56:22,Rayadrug,AndhraPradesh,76.92749,14.786017000000001
9650,8.345002638397005e+18,M,55,M39+,vivo,Y29L,45081.0,2016-05-02 13:16:08,Narasapur,AndhraPradesh,81.757025,16.539436
9717,4.775728949212843e+18,F,18,F23-,Samsung,A820t,6001.0,2016-05-07 07:01:09,Visakhapatnam,AndhraPradesh,83.34488999999998,17.797256
9778,-1.7163627910212746e+18,M,44,M39+,Samsung,Galaxy Note 2,269993.0,2016-05-02 06:38:15,Belampalli,AndhraPradesh,79.579774,19.137869
9785,3.342644682229949e+18,F,84,F43+,Xiaomi,红米,143655.0,2016-05-02 20:40:35,Kavali,AndhraPradesh,80.04016,14.941770000000002
9817,-4.90955268309642e+18,M,33,M32-38,Samsung,Galaxy Note 3,9445.0,2016-05-06 10:07:35,Visakhapatnam,AndhraPradesh,83.39446099999998,17.757151999999994
9906,-7.881159803067742e+18,M,19,M22-,Huawei,荣耀3X畅玩版,294787.0,2016-05-07 03:37:47,Karnul,AndhraPradesh,78.053448,15.856660999999999
9913,-6.498774318024362e+18,M,34,M32-38,Samsung,Galaxy Grand,169676.0,2016-05-02 09:13:34,Tadpatri,AndhraPradesh,78.09597,14.978419
9917,7.5791666391882e+16,M,41,M39+,vivo,Y18L,247583.0,2016-05-05 09:23:17,Kallur,AndhraPradesh,77.83113399999998,15.782831
9926,-7.631935032283102e+18,F,41,F33-42,Samsung,Galaxy Trend DUOS,9451.0,2016-05-06 10:50:16,Visakhapatnam,AndhraPradesh,83.347594,17.796878
10151,-5.038025352377989e+18,M,40,M39+,Meizu,魅蓝NOTE,449245.0,2016-05-03 14:09:34,Guntakal,AndhraPradesh,77.393067,15.27237
